model,scope,fold,cohort_type,threshold,case_count,macro_case_dice,median_case_dice,zero_dice_case_count,case_dice_lt_0_30_count,voxel_dice,voxel_sensitivity,voxel_precision,tp,fp,fn
nnUNetResEnc_Layer1_sourceaware,fold,1,all,0.9,618,0.589155967278804,0.6910333074588811,68,124,0.7838701179194133,0.747154884357733,0.8243802082968086,7405921.0,1577702.0,2506242.0
nnUNetResEnc_Layer1_sourceaware,fold,1,nca,0.05,252,0.47200046557393016,0.5307927187917163,39,80,0.5696228003067649,0.5864496945800071,0.5537345944431661,907267.0,731184.0,639783.0
nnUNetResEnc_Layer1_sourceaware,fold,1,nca,0.1,252,0.47040637499726995,0.5230051839520931,42,79,0.5662543702479585,0.5641297954170841,0.5683950083396236,872737.0,662704.0,674313.0
nnUNetResEnc_Layer1_sourceaware,fold,1,nca,0.2,252,0.46884387004855693,0.5204705296771774,44,81,0.5606097468614886,0.5406716007885977,0.5820746996537249,836446.0,600562.0,710604.0
nnUNetResEnc_Layer1_sourceaware,fold,1,nca,0.3,252,0.46738829042842706,0.5169474837729882,44,80,0.5566658220844903,0.5261568792217446,0.5909306389308538,813991.0,563482.0,733059.0
nnUNetResEnc_Layer1_sourceaware,fold,1,nca,0.4,252,0.46575567923301486,0.5210524242782307,45,79,0.5533057726336079,0.514706699848098,0.5981634656772858,796277.0,534926.0,750773.0
nnUNetResEnc_Layer1_sourceaware,fold,1,nca,0.5,252,0.4636507038180893,0.5219181700308944,46,80,0.5501007495683294,0.5044323066481368,0.6048614808906954,780382.0,509801.0,766668.0
nnUNetResEnc_Layer1_sourceaware,fold,1,nca,0.6,252,0.46142973539114224,0.5222365276171375,48,79,0.5466926216048057,0.49440742057464204,0.6113442775468315,764873.0,486260.0,782177.0
nnUNetResEnc_Layer1_sourceaware,fold,1,nca,0.7,252,0.4587454778123857,0.5230145364497742,48,81,0.5431036702968325,0.48389903364467857,0.6188151835451252,748616.0,461141.0,798434.0
nnUNetResEnc_Layer1_sourceaware,fold,1,nca,0.8,252,0.45505151290866097,0.5172191161842108,48,83,0.5381324727123713,0.4706790342910701,0.628153756039658,728164.0,431049.0,818886.0
nnUNetResEnc_Layer1_sourceaware,fold,1,nca,0.9,252,0.44838539883304357,0.5065830842561636,51,85,0.5269020348422595,0.44654406774183125,0.6425284234649841,690826.0,384342.0,856224.0
nnUNetResEnc_Layer1_sourceaware,fold,1,pca,0.05,366,0.6818860458213801,0.7531052304145964,12,37,0.7860700552531225,0.915301562573034,0.6888160562870403,7656601.0,3458995.0,708512.0
